symbol,name_jp,market,score_0to7,official_score,official_applicable,official_rule1_new_high,official_rule3_growth,official_rule3_no_decline,official_rule4_recent20,official_rule5_sales,official_rule6_profit,official_rule7_resilience,official_rule8_per,nh_stable_growth,nh_no_big_drop,nh_last1_20,nh_last2_20,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,per,digest,market_strength_ratio
4665.T,ダスキン,プライム,3,2,8,True,False,False,False,False,False,False,True,False,False,True,False,0.35783193703985794,-0.030260032588320884,0.254930082466834,0.027756874717808692,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,22.2,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
9259.T,タカヨシホールディングス,グロース,3,2,8,True,False,False,False,False,False,False,True,False,True,False,False,-0.002219755826859071,-0.04025703577621931,0.3054187192118227,0.0010080645161290322,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,8.6,(Perplexity要約失敗: 401 Client Error: Unauthorized for url: https://api.perplexity.ai/chat/completions),
2410.T,キャリアデザインセンター,プライム,2,3,8,True,True,False,False,False,False,False,True,False,True,False,False,0.11543810848400549,0.008524226800288526,0.12130177514792899,0.05621301775147929,False,False,False,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,10.0,,
3004.T,神栄,スタンダード,2,3,8,True,True,False,False,False,False,False,True,False,False,False,False,-0.25039287585123104,0.03339752649268224,1.1832460732984293,0.0992568461773389,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,6.0,,
3941.T,レンゴー,プライム,2,3,8,True,True,False,False,False,False,False,True,False,False,False,False,-0.18351950650216742,0.16873598280521018,0.10963995354239257,-0.011164357051939399,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,11.5,,
4577.T,ダイト,プライム,2,2,8,True,False,False,False,False,False,False,True,False,False,False,False,-0.3104766760132551,-0.2765968947941979,0.31335830212234705,0.06359846317338347,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,17.1,,
5021.T,コスモエネルギーホールディングス,プライム,2,2,8,True,False,False,False,False,False,False,True,False,False,False,False,-0.06717817034309936,-0.042694327323993475,7.670733863837312,0.02890442470434903,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,12.5,,
2172.T,インサイト,札証,1,3,8,True,False,False,False,True,False,False,True,False,False,False,False,-0.33644859813084116,-0.325368096568058,-4.916666666666667,0.11657559198542805,False,False,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 年平均成長+7%未達; 過去に減益あり; 経常YoY+20%不足; 揺るぎない成長要件未満,15.0,,
4208.T,ＵＢＥ,プライム,1,2,8,True,False,False,False,False,False,False,True,False,False,False,,-0.38425123166267583,,-2.91397000789266,-0.12070910429755433,False,False,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,8.8,,
4579.T,ラクオリア創薬,グロース,1,1,7,True,False,False,False,False,False,False,,False,False,True,,0.23208191126279853,,-3.9347826086956523,-0.18997912317327767,False,False,False,False,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 経常利益率のYoY改善なし; 公式スコア上限7/8: データ不足; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,,,
5110.T,住友ゴム工業,プライム,1,3,8,True,True,False,False,False,False,False,True,False,False,False,False,-0.7409992828113794,-0.15087285755723867,-1.4442290518612098,0.005265698972910827,False,False,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,13.0,,
5214.T,日本電気硝子,プライム,1,3,8,True,False,False,False,False,True,False,True,False,False,False,False,-2.3098101265822786,-0.3961921290385986,-3.51487414187643,0.07543982530592065,False,False,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 揺るぎない成長要件未満,20.7,,
5333.T,日本ガイシ,プライム,1,2,8,True,False,False,False,False,False,False,True,False,False,True,False,0.2412201389549824,0.08978175144769018,0.03458360412217993,0.09541866955585575,False,False,False,False,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 経常利益率のYoY改善なし; 年平均成長+7%未達; 過去に減益あり; 売上YoY+10%不足; 経常YoY+20%不足; 揺るぎない成長要件未満,17.3,,
